[4657, 9]
[54, 0]
[4034, 8]
[2252, 4]
[4555, 9]
[3334, 6]
[1725, 3]
[2382, 4]
[1263, 2]
[4549, 9]
[3274, 6]
[3365, 6]
[1505, 3]
[1356, 2]
[4680, 9]
[4727, 9]
[789, 1]
[1030, 2]
[764, 1]
[2731, 5]
[2002, 4]
[225, 0]
[738, 1]
[4811, 9]
[3591, 7]
[4344, 8]
[3898, 7]
[2859, 5]
[4656, 9]
[1559, 3]
[1249, 2]
[1342, 2]
[1340, 2]
[260, 0]
[4545, 9]
[3208, 6]
[865, 1]
[1782, 3]
[1388, 2]
[1514, 3]
[3038, 6]
[4358, 8]
[1845, 3]
[3071, 6]
[1796, 3]
[4283, 8]
[4100, 8]
[2854, 5]
[4574, 9]
[899, 1]
[702, 1]
[1897, 3]
[3379, 6]
[394, 0]
[2196, 4]
[2167, 4]
[2688, 5]
[4068, 8]
[4667, 9]
[2203, 4]
[893, 1]
[820, 1]
[4314, 8]
[1269, 2]
[2150, 4]
[2020, 4]
[3779, 7]
[9, 0]
[4728, 9]
[1860, 3]
[1288, 2]
[4203, 8]
[3390, 6]
[17, 0]
[3813, 7]
[4070, 8]
[854, 1]
[1053, 2]
[4398, 8]
[27, 0]
[2028, 4]
[3174, 6]
[2322, 4]
[625, 1]
[2044, 4]
[4690, 9]
[4006, 8]
[1598, 3]
[103, 0]
[3587, 7]
[4101, 8]
[3075, 6]
[4859, 9]
[2508, 5]
[4812, 9]
[1066, 2]
[2233, 4]
[4650, 9]
[1395, 2]
[2015, 4]
[3547, 7]
[4274, 8]
[814, 1]
[3295, 6]
[1197, 2]
[1843, 3]
[612, 1]
[1346, 2]
[1380, 2]
[1797, 3]
[2112, 4]
[801, 1]
[2590, 5]
[3870, 7]
[3554, 7]
[531, 1]
[4585, 9]
[1553, 3]
[4796, 9]
[4109, 8]
[190, 0]
[337, 0]
[1734, 3]
[4665, 9]
[134, 0]
[1065, 2]
[344, 0]
[653, 1]
[4701, 9]
[2194, 4]
[2601, 5]
[1841, 3]
[4045, 8]
[2898, 5]
[2130, 4]
[2132, 4]
[1193, 2]
[3599, 7]
[38, 0]
[839, 1]
[3762, 7]
[3525, 7]
[1175, 2]
[1359, 2]
[2515, 5]
[1747, 3]
[4654, 9]
[3593, 7]
[2612, 5]
[552, 1]
[1641, 3]
[4192, 8]
[4265, 8]
[3509, 7]
[3886, 7]
[2716, 5]
[2296, 4]
[830, 1]
[828, 1]
